Arup





File WBBn_base_v48_base.gwb
Exported 02/02/2021 21:50:19

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Combination Case and Envelope Details
Cases for which results are not available are displayed in red" or, in case descriptions, within angle brackets."


Combination Cases

START_TABLE Combination Cases
Case,Name,Note,Permutation,Description
C98,Temp Bear Individual Case 2: deck exp.,Individual Case 2-2: Vertical deck gradient (exp.) (bearings),,A42
C99,Temp Bear Individual Case 3: arch vert. grad. exp.,Individual Case 3-1: Vertical arch gradient (exp.) (bearings),,A44
C100,Temp Bear Individual Case 3: arch vert. grad. contr.,Individual Case 3-2: Vertical arch gradient (contr.) (bearings),,-A44
C101,Temp Bear Individual Case 4: arch hor. grad. west contr.,Individual Case 4-1:  Horizontal arch gradient west (contr.) (bearings),,-A45
C102,Temp Bear Individual Case 4: arch hor. grad. west exp.,Individual Case 4-2:  Horizontal arch gradient west (exp.) (bearings),,A45
C103,Temp Bear Individual Case 4: arch hor. grad. east contr.,Individual Case 4-3:  Horizontal arch gradient east (contr.) (bearings),,-A50
C104,Temp Bear Individual Case 4: arch hor. grad. east exp.,Individual Case 4-4:  Horizontal arch gradient east (exp.) (bearings),,A50
C105,Temp Bear Individual Case 5: hangers contr.,Individual Case 5-1:  Hangers contr. (bearings),,-A46
C106,Temp Bear Individual Case 5: hangers exp.,Individual Case 5-2:  Hangers exp. (bearings),,A46
C107,Temp Bear Individual Case 6: hor. grad. west +5,Individual Case 6-1: Horizontal deck gradient west (bearings),,A47
C108,Temp Bear Individual Case 6: hor. grad. east +5,Individual Case 6-2: Horizontal deck gradient east (bearings),,A48
C109,Temp Bear Individual Case 7: arch uniform exp.,Individual Case 7-1: Arch uniform exp. (bearings),,A49
C110,Temp Bear Individual Case 7: arch uniform contr.,Individual Case 7-2: Arch uniform contr. (bearings),,-A49
C111,Temp Bear Comb 1-1,Vertical deck gradient (contr.) + Vertical arch gradient (contr.) + 0.35 Uniform contr. (bearings),,A43 - A44 + 0.35(1.2451(A41))
C112,Temp Bear Comb 1-2,Vertical deck gradient (exp.) + Vertical arch gradient (exp.) + 0.35 Uniform exp. (bearings),,A42 + A44 + 0.35(1.26882(A40))
C113,Temp Bear Comb 2-1,0.75(Vertical deck gradient (contr.) + Vertical arch gradient (contr.)) +  Uniform contr. (bearings),,0.75(A43 - A44) + 1.2451(A41)
C114,Temp Bear Comb 2-2,0.75(Vertical deck gradient (exp.) + Vertical arch gradient (exp.)) +  Uniform exp. (bearings),,0.75(A42 + A44) + 1.26882(A40)
C115,Temp Bear Comb 3-1,Vertical deck gradient (contr.) + Vertical arch gradient(contr.) + 0.35 (Uniform contr. + Hangers contr.) (bearings),,A43 - A44 + 0.35(1.2451(A41) - A46)
C116,Temp Bear Comb 3-2,Vertical deck gradient (exp.) + Vertical arch gradient(exp.) + 0.35 (Uniform exp. + Hangers exp.) (bearings),,A42 + A44 + 0.35(1.26882(A40) + A46)
C117,Temp Bear Comb 4-1,0.75(Vertical deck gradient (contr.) + Vertical arch gradient (contr.)) +  Uniform contr. + Hangers contr. (bearings),,0.75(A43 - A44) + 1.2451(A41) - A46
C118,Temp Bear Comb 4-2,0.75(Vertical deck gradient (exp.) + Vertical arch gradient (exp.)) +  Uniform exp. + Hangers exp. (bearings),,0.75(A42 + A44) + 1.26882(A40) + A46
C119,Temp Bear Comb 5-1,Vertical deck gradient (contr.) + Vertical arch gradient(contr.) + 0.35 (Uniform contr. + Hangers contr. + Arch uniform contr.) (bearings),,A43 - A44 + 0.35(1.2451(A41) - A46 - A49)
C120,Temp Bear Comb 5-2,Vertical deck gradient (exp.) + Vertical arch gradient(exp.) + 0.35 (Uniform exp. + Hangers exp. + Arch uniform exp.) (bearings),,A42 + A44 + 0.35(1.26882(A40) + A46 + A49)
C121,Temp Bear Comb 6-1,Vertical deck gradient (contr.) + Vertical arch gradient(contr.) + 0.35 (Uniform contr. + Arch uniform contr.) (bearings),,A43 - A44 + 0.35(1.2451(A41) - A49)
C122,Temp Bear Comb 6-2,Vertical deck gradient (exp.) + Vertical arch gradient(exp.) + 0.35 (Uniform exp. + Arch uniform exp.) (bearings),,A42 + A44 + 0.35(1.26882(A40) + A49)
C123,Temp Bear Comb 7-1,0.75(Vertical deck gradient (contr.) + Vertical arch gradient (contr.)) +  Uniform contr. + Hangers contr. + Arch uniform contr. (bearings),,0.75(A43 - A44) + 1.2451(A41) - A46 - A49
C124,Temp Bear Comb 7-2,0.75(Vertical deck gradient (exp.) + Vertical arch gradient (exp.)) +  Uniform exp. + Hangers exp. + Arch uniform exp. (bearings),,0.75(A42 + A44) + 1.26882(A40) + A46 + A49
C125,Temp Bear Comb 8-1,0.75(Vertical deck gradient (contr.) + Vertical arch gradient (contr.)) +  Uniform contr. + Arch uniform contr. (bearings),,0.75(A43 - A44) + 1.2451(A41) - A49
C126,Temp Bear Comb 8-2,0.75(Vertical deck gradient (exp.) + Vertical arch gradient (exp.)) +  Uniform exp. + Arch uniform exp. (bearings),,0.75(A42 + A44) + 1.26882(A40) + A49
C127,Temp Bear Comb 9-1,Horizontal deck gradient west + Horizontal arch gradient west + 0.35 Uniform exp. (bearings),,A47 + A45 + 0.35(1.26882(A40))
C128,Temp Bear Comb 9-2,Horizontal deck gradient east + Horizontal arch gradient east + 0.35 Uniform exp. (bearings),,A48 + A50 + 0.35(1.26882(A40))
C129,Temp Bear Comb 10-1,0.75(Horizontal deck gradient west + Horizontal arch gradient west) + Uniform exp. (bearings),,0.75(A47 + A45) + 1.26882(A40)
C130,Temp Bear Comb 10-2,0.75(Horizontal deck gradient east + Horizontal arch gradient east) + Uniform exp. (bearings),,0.75(A48 + A50) + 1.26882(A40)
C131,Temp Bear Comb 11-1,Horizontal deck gradient west + Horizontal arch gradient west + 0.35 (Uniform exp. + Hangers exp.) (bearings),,A47 + A45 + 0.35(1.26882(A40) + A46)
C132,Temp Bear Comb 11-2,Horizontal deck gradient east + Horizontal arch gradient east + 0.35 (Uniform exp. + Hangers exp.) (bearings),,A48 + A50 + 0.35(1.26882(A40) + A46)
C133,Temp Bear Comb 12-1,0.75(Horizontal deck gradient west + Horizontal arch gradient west) + Uniform exp. + Hangers exp. (bearings),,0.75(A47 + A45) + 1.26882(A40) + A46
C134,Temp Bear Comb 12-2,0.75(Horizontal deck gradient east + Horizontal arch gradient east) + Uniform exp. + Hangers exp. (bearings),,0.75(A48 + A50) + 1.26882(A40) + A46
C135,Temp Bear Comb 13-1,Vertical deck gradient (exp.) + Horizontal deck gradient west + 0.35 Uniform exp. (bearings),,A42 + A47 + 0.35(1.26882(A40))
C136,Temp Bear Comb 13-2,Vertical deck gradient (exp.) + Horizontal deck gradient east + 0.35 Uniform exp. (bearings),,A42 + A48 + 0.35(1.26882(A40))
C137,Temp Bear Comb 14-1,0.75(Vertical deck gradient (exp.) + Horizontal deck gradient west) + Uniform exp. (bearings),,0.75(A42 + A47) + 1.26882(A40)
C138,Temp Bear Comb 14-2,0.75(Vertical deck gradient (exp.) + Horizontal deck gradient east) + Uniform exp. (bearings),,0.75(A42 + A48) + 1.26882(A40)
C140,Construction stage - deck,,,A101 + A102
C141,Construction stage - arch,,,A103 + A104 + A105 + A106 + A107 + A108 + A109 + A110 + A111 + A112 + A113 + A114
C142,Construction stage - deck + arch,,,C140 + C141 + A115
C143,Construction stage - deck + arch + hanger,,,C142 + A116
C144,Construction stage - final,,,C143 + A117
C145,Cable tuning  - 1st,,,0(A118 + A131) + 0(A119 + A130) + 0(A120 + A129) + 0(A121 + A128) + 0(A122 + A127) + 0(A123 + A126) + 0(A124 + A125)
C146,Cable tuning  - 1st [+10%],,,24.73(A118 + A131) + 21.99(A119 + A130) + 39.33(A120 + A129) + 37.43(A121 + A128) + 47.69(A122 + A127) + 46.75(A123 + A126) + 50.18(A124 + A125)
C147,Cable tuning  - 1st [-10%],,,-8.26(A118 + A131) - 7.35(A119 + A130) - 13.13(A120 + A129) - 12.49(A121 + A128) - 15.92(A122 + A127) - 15.6(A123 + A126) - 16.74(A124 + A125)
C150,Construction stage - after cable tuning,,,C144 + C145
C160,Prestress SLS,,,C145
C161,Prestress ULS 1,,,C145
C162,Prestress ULS 2,,,C146
C163,Prestress ULS 3,,,C147
C164,boog1,,,A103
C165,boog2,,,C164 + A104
C166,boog3,,,C165 + A105
C167,boog4,,,C166 + A106
C168,boog5,,,C167 + A107
C169,boog6,,,C168 + A108
C170,boog7,,,C169 + A109
C171,boog8,,,C170 + A110
C172,boog9,,,C171 + A111
C173,boog10,,,C172 + A112
C174,boog11,,,C173 + A113
C175,boog12,,,C174 + A114
END_TABLE

Analysis Envelope Tasks
This table is empty.
