Arup





File WBBn_base_v48_base.gwb
Exported 02/02/2021 23:31:46

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Reactions
"Reactions due to restraints, spring supports, applied displacements and grounded springs"
Output axes:  global
"Node list:  ""bearings bottom"""
Some of the combined results are from different analysis stages. The user should ensure that this combination is valid.

START_TABLE Reactions
,,[kN],[kN],[kN],[kN],[kNm],[kNm],[kNm],[kNm]
Node,Case,Fx,Fy,Fz,|F|,Mxx,Myy,Mzz,|M|
17027,C124,0.0,0.0,-0.02849,0.02849,0.0,0.0,0.0,0.0
17027,C125,0.0,0.0,0.05932,0.05932,0.0,0.0,0.0,0.0
17027,C126,0.0,0.0,-0.02805,0.02805,0.0,0.0,0.0,0.0
17027,C127,0.0,0.0,3.449,3.449,0.0,0.0,0.0,0.0
17027,C128,0.0,0.0,-0.007523,0.007523,0.0,0.0,0.0,0.0
17027,C129,0.0,0.0,2.574,2.574,0.0,0.0,0.0,0.0
17027,C130,0.0,0.0,-0.01821,0.01821,0.0,0.0,0.0,0.0
17027,C131,0.0,0.0,3.449,3.449,0.0,0.0,0.0,0.0
17027,C132,0.0,0.0,-0.007678,0.007678,0.0,0.0,0.0,0.0
17027,C133,0.0,0.0,2.574,2.574,0.0,0.0,0.0,0.0
17027,C134,0.0,0.0,-0.01866,0.01866,0.0,0.0,0.0,0.0
17027,C135,0.0,0.0,3.519,3.519,0.0,0.0,0.0,0.0
17027,C136,0.0,0.0,0.06959,0.06959,0.0,0.0,0.0,0.0
17027,C137,0.0,0.0,2.627,2.627,0.0,0.0,0.0,0.0
17027,C138,0.0,0.0,0.03962,0.03962,0.0,0.0,0.0,0.0
17027,C140,0.0,0.0,1096.,1096.,0.0,0.0,0.0,0.0
17027,C141,0.0,0.0,-184.7,184.7,0.0,0.0,0.0,0.0
17027,C142,0.0,0.0,8021.,8021.,0.0,0.0,0.0,0.0
17027,C143,0.0,0.0,8035.,8035.,0.0,0.0,0.0,0.0
17027,C144,0.0,0.0,18140.,18140.,0.0,0.0,0.0,0.0
17027,C146,0.0,0.0,0.004206,0.004206,0.0,0.0,0.0,0.0
17027,C147,0.0,0.0,-0.001406,0.001406,0.0,0.0,0.0,0.0
17027,C150,0.0,0.0,18140.,18140.,0.0,0.0,0.0,0.0
17027,C162,0.0,0.0,0.004206,0.004206,0.0,0.0,0.0,0.0
17027,C163,0.0,0.0,-0.001406,0.001406,0.0,0.0,0.0,0.0
17027,C164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
