Arup





File WBBn_base_v48_traffic (Node effects)_solved.gwb
Exported 03/02/2021 16:31:59

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Displacements
Displacements reported at nodes;  fully restrained nodes are excluded
Output axes:  global
"Node list:  ""bearings top"""

START_TABLE Displacements
,,[mm],[mm],[mm],[mm],[rad],[rad],[rad],[rad],[mm]
Node,Case,Ux,Uy,Uz,|U|,Rxx,Ryy,Rzz,|R|,Uxy
30097,A30,-8.194E-12,268.3E-12,-0.02943,0.02943,911.9E-6,-652.9E-6,-45.26E-6,0.001122,268.5E-12
30097,A31,14.01E-12,-780.4E-12,-0.05869,0.05869,690.3E-6,0.002901,139.3E-6,0.002985,780.5E-12
30097,A32,-9.099E-12,3.291E-9,-0.01893,0.01893,187.1E-6,-614.8E-6,-70.50E-6,646.5E-6,3.291E-9
30097,A33,5.451E-12,6.836E-9,-0.07272,0.07272,121.5E-6,0.002688,518.0E-6,0.002740,6.836E-9
30097,A34,1.583E-12,-6.722E-9,-0.01649,0.01649,498.1E-6,843.5E-6,-349.1E-6,0.001040,6.722E-9
30097,A35,0.0,383.8E-12,-0.07816,0.07816,0.001547,0.002750,126.7E-6,0.003158,383.8E-12
30097,A36,4.128E-12,-5.243E-9,-0.04878,0.04878,789.4E-6,0.002772,44.64E-6,0.002882,5.243E-9
30097,A37,-6.214E-12,3.803E-9,-0.01990,0.01990,176.6E-6,-569.7E-6,-72.92E-6,600.8E-6,3.803E-9
30097,A38,0.0,-1.274E-9,-0.04605,0.04605,213.4E-6,737.7E-6,466.8E-6,898.7E-6,1.274E-9
30097,A39,3.173E-12,1.109E-9,-0.03105,0.03105,504.0E-6,0.001278,-313.0E-6,0.001409,1.109E-9
30097,A40,9.837E-12,5.407E-9,-0.07948,0.07948,450.9E-6,0.004033,282.1E-6,0.004068,5.407E-9
30097,A41,-1.431E-12,-3.923E-9,-0.02167,0.02167,247.8E-6,-623.4E-6,99.30E-6,678.2E-6,3.923E-9
30097,A42,0.0,-881.3E-12,-0.06038,0.06038,375.0E-6,0.001814,561.6E-6,0.001936,881.3E-12
30097,A43,-2.651E-12,1.390E-9,-0.01472,0.01472,333.7E-6,115.6E-6,-411.2E-6,542.0E-6,1.390E-9
30097,A44,2.875E-12,3.576E-9,-0.06736,0.06736,367.5E-6,0.002205,-3.319E-6,0.002236,3.576E-9
30097,A45,0.0,-51.54E-12,-185.6E-6,185.6E-6,11.12E-6,-1.406E-6,-7.590E-6,13.54E-6,51.54E-12
30097,A46,-3.573E-12,-67.48E-12,-0.03538,0.03538,170.0E-6,-218.9E-6,23.61E-6,278.2E-6,67.58E-12
30097,A47,12.56E-12,-3.917E-9,-0.04772,0.04772,657.2E-6,0.002594,66.71E-6,0.002677,3.917E-9
30097,A48,-5.662E-12,5.017E-9,-0.01976,0.01976,153.0E-6,-608.8E-6,-128.5E-6,640.8E-6,5.017E-9
30097,A49,-2.953E-12,-1.164E-9,-0.01809,0.01809,456.2E-6,234.7E-6,-378.7E-6,637.7E-6,1.164E-9
30097,A50,2.252E-12,1.531E-9,-0.05225,0.05225,8.109E-6,0.001420,471.6E-6,0.001496,1.531E-9
30097,A51,2.299E-12,1.016E-9,-0.08252,0.08252,304.5E-6,0.002541,481.4E-6,0.002604,1.016E-9
30097,A52,0.0,-58.08E-12,-0.004067,0.004067,161.8E-6,7.710E-6,-293.0E-6,334.8E-6,58.08E-12
30097,A53,6.309E-12,4.054E-9,-0.06743,0.06743,432.9E-6,0.003368,234.0E-6,0.003404,4.054E-9
30097,A54,-5.807E-12,-5.166E-9,-0.02385,0.02385,245.0E-6,-662.0E-6,158.9E-6,723.5E-6,5.166E-9
30097,A55,1.134E-12,-1.527E-9,-0.01649,0.01649,449.2E-6,458.3E-6,-379.1E-6,745.3E-6,1.527E-9
30097,A56,-3.147E-12,1.026E-9,-0.04935,0.04935,26.42E-6,0.001001,458.7E-6,0.001101,1.026E-9
30097,A57,0.0,-6.669E-9,-0.05750,0.05750,0.001196,0.001956,-33.14E-6,0.002293,6.669E-9
30097,A58,1.290E-12,2.650E-9,-0.009733,0.009733,-36.77E-6,430.7E-6,71.64E-6,438.2E-6,2.650E-9
30097,A59,2.150E-12,7.004E-9,-0.09556,0.09556,0.001176,0.002856,291.6E-6,0.003102,7.004E-9
30097,A60,0.0,-2.651E-9,29.15E-6,29.15E-6,77.77E-6,111.0E-6,-60.53E-6,148.4E-6,2.651E-9
30097,A61,-1.646E-12,-15.00E-9,-0.02179,0.02179,622.2E-6,694.6E-6,-41.86E-6,933.5E-6,15.00E-9
30097,A62,-1.510E-12,15.02E-9,-0.07075,0.07075,216.3E-6,0.002641,225.7E-6,0.002659,15.02E-9
30097,A63,-6.495E-12,-3.587E-9,-0.03186,0.03186,274.3E-6,-143.3E-6,173.1E-6,354.6E-6,3.587E-9
30097,A64,4.904E-12,3.953E-9,-0.06833,0.06833,429.0E-6,0.003379,224.2E-6,0.003413,3.953E-9
30097,A65,-2.432E-12,6.462E-9,-0.04604,0.04604,112.5E-6,759.9E-6,-126.3E-6,778.5E-6,6.462E-9
30097,A66,0.0,-1.513E-9,-0.01278,0.01278,700.6E-6,-186.0E-6,-2.610E-6,724.9E-6,1.513E-9
30097,A67,-2.346E-12,-6.763E-9,-0.04300,0.04300,309.5E-6,250.9E-6,230.8E-6,460.5E-6,6.763E-9
30097,A68,0.0,1.693E-9,-0.004593,0.004593,406.1E-6,-59.76E-6,-60.10E-6,414.8E-6,1.693E-9
30097,A69,-1.664E-12,15.02E-9,-0.07075,0.07075,216.3E-6,0.002641,225.7E-6,0.002659,15.02E-9
30097,A70,0.0,-15.00E-9,-0.02179,0.02179,622.2E-6,694.6E-6,-41.86E-6,933.5E-6,15.00E-9
