Arup





File WBBn_base_v48_base.gwb
Exported 02/02/2021 23:28:10

GSA 10.1.39.2 64-bit Copyright © Oasys 1985-2020

Displacements
Displacements reported at nodes;  fully restrained nodes are excluded
Output axes:  global
"Node list:  ""bearings top"""
Some of the combined results are from different analysis stages. The user should ensure that this combination is valid.

START_TABLE Displacements
,,[mm],[mm],[mm],[mm],[rad],[rad],[rad],[rad],[mm]
Node,Case,Ux,Uy,Uz,|U|,Rxx,Ryy,Rzz,|R|,Uxy
12110,C124,-308.8E-6,-12.87,284.9E-9,12.87,0.001170,-0.001070,130.2E-6,0.001591,12.87
12110,C125,122.0E-6,15.42,-593.2E-9,15.42,-683.4E-6,0.001187,-47.89E-6,0.001371,15.42
12110,C126,-313.8E-6,-12.86,280.5E-9,12.86,0.001172,-0.001120,131.4E-6,0.001627,12.86
12110,C127,-8.331,-6.204,-34.49E-6,10.39,145.1E-6,48.54E-6,-215.6E-6,264.4E-6,10.39
12110,C128,8.497,-6.209,75.23E-9,10.52,86.68E-6,-181.2E-6,249.8E-6,320.6E-6,10.52
12110,C129,-6.249,-15.89,-25.74E-6,17.07,338.7E-6,-19.44E-6,-167.8E-6,378.5E-6,17.07
12110,C130,6.373,-15.89,182.1E-9,17.12,294.9E-6,-191.8E-6,181.2E-6,395.7E-6,17.12
12110,C131,-8.331,-6.205,-34.49E-6,10.39,144.5E-6,66.25E-6,-216.0E-6,268.2E-6,10.39
12110,C132,8.497,-6.209,76.78E-9,10.52,86.05E-6,-163.5E-6,249.4E-6,310.4E-6,10.52
12110,C133,-6.249,-15.89,-25.74E-6,17.07,336.9E-6,31.17E-6,-169.0E-6,378.2E-6,17.07
12110,C134,6.373,-15.89,186.6E-9,17.12,293.1E-6,-141.2E-6,180.0E-6,371.8E-6,17.12
12110,C135,-8.386,-3.110,-35.19E-6,8.944,0.001306,342.6E-6,-40.13E-6,0.001350,8.944
12110,C136,8.551,-3.115,-695.9E-9,9.101,0.001205,114.9E-6,443.6E-6,0.001289,9.101
12110,C137,-6.290,-13.57,-26.27E-6,14.95,0.001209,201.1E-6,-36.25E-6,0.001226,14.95
12110,C138,6.413,-13.57,-396.2E-9,15.01,0.001133,30.36E-6,326.5E-6,0.001180,15.01
12110,C140,1.294E-6,-5.399,-0.01096,5.399,-930.8E-6,22.69E-6,-74.26E-6,934.0E-6,5.399
12110,C141,-493.2E-6,-0.8808,0.001847,0.8808,-163.2E-6,43.14E-6,92.74E-9,168.8E-6,0.8808
12110,C142,-0.001126,-6.490,-0.08021,6.491,-0.001138,0.001774,-56.56E-6,0.002108,6.490
12110,C143,-0.001126,-6.491,-0.08035,6.492,-0.001138,0.001774,-56.72E-6,0.002109,6.491
12110,C144,-960.5E-6,-7.224,-0.1814,7.227,-0.001527,0.004997,-168.7E-6,0.005228,7.224
12110,C146,7.716E-6,-0.05468,-42.06E-9,0.05468,-41.73E-6,219.1E-6,-20.75E-6,224.0E-6,0.05468
12110,C147,-2.575E-6,0.01826,14.06E-9,0.01826,13.93E-6,-73.20E-6,6.930E-6,74.84E-6,0.01826
12110,C150,-960.5E-6,-7.224,-0.1814,7.227,-0.001527,0.004997,-168.7E-6,0.005228,7.224
12110,C162,7.716E-6,-0.05468,-42.06E-9,0.05468,-41.73E-6,219.1E-6,-20.75E-6,224.0E-6,0.05468
12110,C163,-2.575E-6,0.01826,14.06E-9,0.01826,13.93E-6,-73.20E-6,6.930E-6,74.84E-6,0.01826
12110,C164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12110,C165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12110,C166,-189.2E-6,0.04063,0.007056,0.04123,20.32E-6,93.28E-6,16.68E-6,96.91E-6,0.04063
12110,C167,-271.6E-6,-0.3774,0.007473,0.3774,-58.44E-6,101.6E-6,14.68E-6,118.1E-6,0.3774
